BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201608,13,1000,201608,13,1800,109272,654455,CONNECTICUT,9,2016,August,Heat,Z,1,NORTHERN LITCHFIELD,ALY,13-AUG-16 10:00:00,EST-5,13-AUG-16 18:00:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"On the morning of Saturday, August 13th, a warm front lifted northward across the region. This allowed a very warm and excessively humid air mass to be in place over the area. As temperatures rose through the 80s and into the 90s, dewpoints were unusually high in the mid to upper 70s. By the afternoon hours, this produced heat index values over 100 degrees in many valley areas, with some spots in southern Litchfield County seeing heat index values over 105 degrees.||Ahead of an advancing cold front, an organized line of thunderstorms moved from west to east across all of eastern Upstate New York late in the day.   This line of thunderstorms crossed northwestern Connecticut during the late evening hours, producing damaging winds.||In addition to the gusty winds, the thunderstorms also produced a significant amount of cloud-to-ground lightning. Numerous power outages were reported throughout the region. ||Thunderstorms ended with the passage of the cold front during the overnight hours.",,CSV
201608,13,1000,201608,13,2000,109272,654456,CONNECTICUT,9,2016,August,Excessive Heat,Z,13,SOUTHERN LITCHFIELD,ALY,13-AUG-16 10:00:00,EST-5,13-AUG-16 20:00:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"On the morning of Saturday, August 13th, a warm front lifted northward across the region. This allowed a very warm and excessively humid air mass to be in place over the area. As temperatures rose through the 80s and into the 90s, dewpoints were unusually high in the mid to upper 70s. By the afternoon hours, this produced heat index values over 100 degrees in many valley areas, with some spots in southern Litchfield County seeing heat index values over 105 degrees.||Ahead of an advancing cold front, an organized line of thunderstorms moved from west to east across all of eastern Upstate New York late in the day.   This line of thunderstorms crossed northwestern Connecticut during the late evening hours, producing damaging winds.||In addition to the gusty winds, the thunderstorms also produced a significant amount of cloud-to-ground lightning. Numerous power outages were reported throughout the region. ||Thunderstorms ended with the passage of the cold front during the overnight hours.",,CSV
201608,14,1100,201608,14,1800,109345,654726,CONNECTICUT,9,2016,August,Heat,Z,13,SOUTHERN LITCHFIELD,ALY,14-AUG-16 11:00:00,EST-5,14-AUG-16 18:00:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"With a southerly flow in place, a warm and humid air mass continued to be in place on Sunday, August 14th.  With temperatures well into the 90s and dewpoints reaching around 70 degrees, heat index values exceeded 100 degrees during the afternoon and early evening hours across southern Litchfield County.",,CSV
201608,12,1000,201608,12,1700,107802,646023,CONNECTICUT,9,2016,August,Heat,Z,13,SOUTHERN LITCHFIELD,ALY,12-AUG-16 10:00:00,EST-5,12-AUG-16 17:00:00,0,0,0,0,,,ASOS,,,,,,,,,,,,,,,,,,,,,,"A very warm and humid air mass was in place over northwestern Connecticut on Friday, August 12th. Daytime temperatures were well into the 90s and dewpoints reached into the low to mid 70s. As a result, heat index values reached around 100 degrees for valley areas during the afternoon and early evening hours.",,CSV
201608,14,1100,201608,14,1800,109346,654727,NEW YORK,36,2016,August,Heat,Z,64,EASTERN ULSTER,ALY,14-AUG-16 11:00:00,EST-5,14-AUG-16 18:00:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"With a southerly flow in place, a warm and humid air mass continued to be in place on Sunday, August 14th.  With temperatures well into the 90s and dewpoints reaching around 70 degrees, heat index values exceeded 100 degrees during the afternoon and early evening hours across eastern Ulster and Dutchess Counties.",,CSV
201608,14,1100,201608,14,1800,109346,654728,NEW YORK,36,2016,August,Heat,Z,66,EASTERN DUTCHESS,ALY,14-AUG-16 11:00:00,EST-5,14-AUG-16 18:00:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"With a southerly flow in place, a warm and humid air mass continued to be in place on Sunday, August 14th.  With temperatures well into the 90s and dewpoints reaching around 70 degrees, heat index values exceeded 100 degrees during the afternoon and early evening hours across eastern Ulster and Dutchess Counties.",,CSV
201608,14,1100,201608,14,1800,109346,654729,NEW YORK,36,2016,August,Heat,Z,65,WESTERN DUTCHESS,ALY,14-AUG-16 11:00:00,EST-5,14-AUG-16 18:00:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"With a southerly flow in place, a warm and humid air mass continued to be in place on Sunday, August 14th.  With temperatures well into the 90s and dewpoints reaching around 70 degrees, heat index values exceeded 100 degrees during the afternoon and early evening hours across eastern Ulster and Dutchess Counties.",,CSV
201606,10,1100,201606,12,1800,106716,640689,MINNESOTA,27,2016,June,Excessive Heat,Z,89,NOBLES,FSD,10-JUN-16 11:00:00,CST-6,12-JUN-16 18:00:00,0,0,0,0,0.00K,0.00K,Official NWS Observations,,,,,,,,,,,,,,,,,,,,,,"Rapidly developing very hot and humid weather, with daytime temperatures reaching the mid to upper 90s, brought the heat index to 100 or a little hotter during the afternoon hours of June 10th through June 12th. The heat came less than two days after a period of well below normal temperatures. Part of Interstate 90 buckled near the South Dakota border, and emergency rooms at hospitals reported that an unknown number of people suffered heat stress, heat exhaustion, or dehydration.","Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions, with the heat index rising to 100 degrees or a little hotter. An unknown number of people suffered from heat stress, heat exhaustion, or dehydration, as reported by hospital emergency rooms.",CSV
201606,10,1100,201606,12,1800,106716,640690,MINNESOTA,27,2016,June,Excessive Heat,Z,98,ROCK,FSD,10-JUN-16 11:00:00,CST-6,12-JUN-16 18:00:00,0,0,0,0,,0.00K,Official NWS Observations,,,,,,,,,,,,,,,,,,,,,,"Rapidly developing very hot and humid weather, with daytime temperatures reaching the mid to upper 90s, brought the heat index to 100 or a little hotter during the afternoon hours of June 10th through June 12th. The heat came less than two days after a period of well below normal temperatures. Part of Interstate 90 buckled near the South Dakota border, and emergency rooms at hospitals reported that an unknown number of people suffered heat stress, heat exhaustion, or dehydration.","Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions, with the heat index rising to 100 degrees or a little hotter. An unknown number of people suffered from heat stress, heat exhaustion, or dehydration, as reported by hospital emergency rooms. Part of Interstate 90 buckled near the South Dakota border.",CSV
201606,10,1100,201606,12,1800,106715,640663,SOUTH DAKOTA,46,2016,June,Excessive Heat,Z,53,SANBORN,FSD,10-JUN-16 11:00:00,CST-6,12-JUN-16 18:00:00,0,0,0,0,0.00K,0.00K,Official NWS Observations,,,,,,,,,,,,,,,,,,,,,,"Rapidly developing very hot and humid weather, with daytime temperatures reaching the 95 to 100 degree range, brought the heat index to above 100 during the afternoon hours of June 10th through June 12th. The heat came less than two days after a period of well below normal temperatures. Several roads buckled in the Sioux Falls area, and emergency rooms at hospitals reported that an unknown number of people suffered heat stress, heat exhaustion, or dehydration.","Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions, with the heat index rising to a little above 100 degrees. An unknown number of people suffered from heat stress, heat exhaustion, or dehydration, as reported by hospital emergency rooms.",CSV
